Iter 42, Training Accuracy: 0.7473333299160003, Training Loss: 2.537615440785885, Testing Accuracy: 0.769666662812233, Testing Loss: 2.3576545044779778
Iter 43, Training Accuracy: 0.7863333284854889, Training Loss: 2.3728769570589066, Testing Accuracy: 0.7693333327770233, Testing Loss: 2.3717247173190117
Iter 44, Training Accuracy: 0.792333334684372, Training Loss: 2.3508963137865067, Testing Accuracy: 0.7839999973773957, Testing Loss: 2.316563531756401
Iter 45, Training Accuracy: 0.7726666629314423, Training Loss: 2.337350457906723, Testing Accuracy: 0.7680000007152558, Testing Loss: 2.375014841556549
Iter 46, Training Accuracy: 0.776666671037674, Training Loss: 2.3976986557245255, Testing Accuracy: 0.7810000061988831, Testing Loss: 2.3250777795910835
Iter 47, Training Accuracy: 0.7943333268165589, Training Loss: 2.2295100390911102, Testing Accuracy: 0.788333323597908, Testing Loss: 2.2953241914510727
Iter 48, Training Accuracy: 0.7950000047683716, Training Loss: 2.1826879754662514, Testing Accuracy: 0.8053333312273026, Testing Loss: 2.110551029443741
Iter 49, Training Accuracy: 0.7966666668653488, Training Loss: 2.198105812072754, Testing Accuracy: 0.8036666661500931, Testing Loss: 2.1146418005228043
Iter 50, Training Accuracy: 0.806999996304512, Training Loss: 2.091005399823189, Testing Accuracy: 0.8153333336114883, Testing Loss: 2.0810846760869026
Iter 51, Training Accuracy: 0.8063333332538605, Training Loss: 2.1419468969106674, Testing Accuracy: 0.798333328962326, Testing Loss: 2.1158799305558205
Iter 52, Training Accuracy: 0.8240000039339066, Training Loss: 1.928762748837471, Testing Accuracy: 0.8323333323001861, Testing Loss: 1.9633902534842491
Iter 53, Training Accuracy: 0.8370000034570694, Training Loss: 1.8412324413657188, Testing Accuracy: 0.83966666162014, Testing Loss: 1.8536447286605835
Iter 54, Training Accuracy: 0.8219999998807908, Training Loss: 1.9699843376874924, Testing Accuracy: 0.8273333311080933, Testing Loss: 1.946105182170868
